재활용센터명,소재지지번주소,위도,경도,주요취급품목정보,운영기관명,운영기관전화번호,운영기관대표자명,평일운영시작시각,평일운영종료시각,공휴일운영시작시각,공휴일운영종료시각,휴무일정보,관리기관전화번호,관리기관명
강릉시자원순환센터,강원도 강릉시 강동면 임곡리 산25,37.69266797,128.9879447,합성수지류+고철류+유리병+기타+종이류(고지류)+금속캔,강원도 강릉시청,033-660-3392,강릉시장,8:00,17:00,0:00,0:00,일+공휴일,033-660-3392,강원도 강릉시청
고성군생활자원회수센터,강원도 고성군 죽왕면 향목리 223,38.36330744,128.4818996,합성수지류+금속캔,강원도 고성군청,033-680-3983,고성군수,9:00,18:00,23:59,23:59,공휴일,033-680-3983,강원도 고성군청
환경자원센터,강원도 양양군 양양읍 화일리 485,38.0937569,128.571566,고철류+합성수지류+기타,(유)양양자활환경자원센터,033-671-2788,임무경,9:00,18:00,0:00,0:00,토+일+공휴일,033-670-2186,강원도 양양군청
원주시 중고가전가구재활용센터(1호점),강원도 원주시 단구동 724-22,37.32612272,127.9599504,소형 가전제품+기타,개인,033-735-7388,원덕자,9:00,18:30,0:00,0:00,일+공휴일,033-737-3091,강원도 원주시청
원주시 중고가전가구재활용센터(2호점),강원도 원주시 학성동 430-8,37.3557821,127.9444831,소형 가전제품+기타,개인,033-743-0119,원덕자,9:00,18:30,0:00,0:00,일+공휴일,033-737-3091,강원도 원주시청
인제군 공공재활용선별시설,강원도 인제군 북면 월학리 1235-3,38.13766188,128.212133,종이류(고지류)+합성수지류+금속캔,환경에너지솔루션,033-463-8906,이용현,9:00,18:00,0:00,0:00,관공서의 공휴일에 관한 규정 제2조 준용,033-460-2064,강원도 인제군청
철원군 재활용센터,강원도 철원군 철원읍 율이리 500,38.22414087,127.1695236,종이류(고지류)+종이팩+유리병+고철류+금속캔+합성수지류,강원도 철원군청,033-450-5572,환경자원사업소장,9:00,18:00,0:00,0:00,,033-450-5572,강원도 철원군청
태백시 생활자원회수센터,강원도 태백시 통동 336-1,37.1976912,129.003658,종이류(고지류)+합성수지류+유리병+고철류+금속캔+기타,강원도 태백시청,033-550-2790,태백시장,6:00,16:00,6:00,12:00,일+추석당일+설당일,033-550-2790,강원도 태백시청
동해시가전가구재활용센터,강원특별자치도 동해시 대진동 73-7,37.57651247,129.1085604,소형 가전제품+기타,동해시가전가구재활용센터,033-531-8272,김원경,9:00,18:00,0:00,0:00,"일요일,공휴일",033-530-2155,강원특별자치도 동해시청
양구군 전처리시설,강원특별자치도 양구군 국토정중앙면 창리 산 84,38.07026616,128.0418259,기타,강원특별자치도 양구군청,033-480-7301,서흥원,9:00,18:00,9:00,18:00,일요일,033-480-7301,강원특별자치도 양구군청
정선군재활용선별시설,강원특별자치도 정선군 남면 광덕리 365,37.30727229,128.6787899,합성수지류+금속캔+고철류+기타,강원특별자치도 정선군청,033-560-2398,정선군수 최승준,9:00,18:00,0:00,0:00,토+일,033-560-2398,강원특별자치도 정선군청
(합자)청명산업,강원특별자치도 춘천시 동면 장학리 648-56,37.908602,127.749173,소형 가전제품+기타,개인,033-257-4428,김영숙,9:00,18:00,0:00,0:00,토+일+법정공휴일,033-250-3131,강원특별자치도 춘천시청
춘천시 도시형종합폐기물처리시설 재활용선별센터,강원특별자치도 춘천시 신동면 혈동리 548-7,37.799514,127.683607,종이류(고지류)+합성수지류+금속캔+고철류+기타,춘천도시공사,033-262-0216,조완형,8:30,17:30,8:30,17:30,토+일+법정공휴일,033-245-5228,강원특별자치도 춘천시청
신바람 할인매장,강원특별자치도 춘천시 효자동 250-76,37.864773,127.735409,소형 가전제품+기타,개인,033-626-0071,이영란,9:00,18:00,0:00,0:00,토+일+법정공휴일,033-250-3131,강원특별자치도 춘천시청
춘천시 재활용센터,강원특별자치도 춘천시 후평동 194,37.89237869,127.751638,소형 가전제품+기타,개인,033-243-7272,박재영,9:00,18:00,0:00,0:00,토+일+법정공휴일,033-250-3131,강원특별자치도 춘천시청
횡성군재활용선별장,강원특별자치도 횡성군 횡성읍 학곡리 258,37.51123196,127.9701806,합성수지류+고철류+금속캔+종이류(고지류),횡성군지역자활센터,033-345-7132,박성길,9:00,18:00,0:00,0:00,토+일+공휴일,033-340-5912,강원도 횡성군청 환경자원사업소
여주시 재활용품 선별장,강천면 부평리 548-2,37.25795462,127.7296807,합성수지류,경기도 여주시청,,여주시장,8:00,18:00,8:00,13:00,,031-887-2781,경기도 여주시청
과천시재활용센터,경기도 과천시 갈현동 205-1,37.40717893,126.9932814,소형 가전제품+기타,처분이사,02-507-8946,홍용학,10:00,18:00,10:00,18:00,일요일,02-3677-2415,경기도 과천시청
김포시재활용수집소,경기도 김포시 걸포동 1-3,37.64624046,126.7056753,종이류(고지류)+종이팩,김포도시관리공사,031-985-2969,김동석,8:00,17:00,0:00,0:00,매주 일+공휴일,031-980-2776,경기도 김포시청
동두천시 재활용선별장,경기도 동두천시 동두천동 432-1,37.94229789,127.0563814,종이류(고지류)+유리병+합성수지류+고철류,경기도 동두천시청,031-860-2254,동두천시장,9:00,18:00,0:00,0:00,토+일+공휴일,031-860-2254,경기도 동두천시청 환경보호과
성남시 재활용선별장,경기도 성남시 분당구 야탑동 404,37.41426314,127.1196311,종이류(고지류)+유리병+고철류+합성수지류+의류+기타,엠엔테크㈜+ ㈜에스지자원개발,031-707-6470,오명석,8:00,17:00,0:00,0:00,일+공휴일,031-729-4986,경기도 성남시청
수원시자원순환센터,경기도 수원시 영통구 하동 17-3,37.28924123,127.086283,합성수지류+유리병+고철류+금속캔,수원도시공사,031-888-7911,허정문,8:00,17:00,8:00,14:00,일요일+공휴일,031-888-7911,경기도 수원시
시흥시 환경미화타운,경기도 시흥시 정왕동 1,37.37165632,126.7572161,종이류(고지류)+고철류+금속캔+유리병+합성수지류,시흥도시공사,031-488-6890,정동선,8:00,17:00,8:00,16:00,일요일,032-488-6800,경기도 시흥시청
자원새롬센터,경기도 연천군 청산면 대전리 458,37.99813896,127.0844951,종이류(고지류)+유리병+금속캔+합성수지류+기타+소형 가전제품,(주)티에스케이워터,031-833-5707,최규남,8:00,17:00,0:00,0:00,공휴일,031-839-2257,경기도 연천군청 환경보호과
오산시 자원재활용센터,경기도 오산시 누읍동 196-4,37.13313732,127.0586926,기타,경기도 오산시청,031-8036-6456,이권재,5:00,18:00,5:00,13:00,일요일,031-8036-6456,경기도 오산시청
용인시재활용센터,경기도 용인시 처인구 고림동 820-155,37.25655929,127.2198451,종이류(고지류)+금속캔+기타,용인도시공사,,,8:00,18:00,8:00,12:00,,031-332-1190,경기도 용인시청
고림동재활용센터,경기도 용인시 처인구 고림동 954-3,37.25655929,127.2198451,합성수지류+금속캔+종이류(고지류)+고철류+유리병+기타,용인도시공사,031-8097-6802,최찬용,8:00,17:00,8:00,12:00,일요일+명절당일,031-324-2334,환경위생사업소(도시청결과)
이동읍공공재활용센터,경기도 용인시 처인구 이동읍 덕성리 1130-7,37.181318,127.200127,합성수지류+기타,용인도시공사,,,8:00,18:00,8:00,12:00,,031-321-3088,경기도 용인시청
의왕시재활용센터,경기도 의왕시 이동 478,37.33777051,126.9642594,기타,이에스아이㈜,070-4649-7431,황근순,8:00,16:00,0:00,0:00,일요일+공휴일,031-345-3864,경기도 의왕시청
의정부시재활용센터,경기도 의정부시 신곡동 681,37.74351676,127.0551989,소형 가전제품+기타,(사)한국생활자원재활용협회 의정부지회,031-844-7282,이종철,9:00,18:00,0:00,0:00,토+일+공휴일,031-828-2994,경기도 의정부시청
평택시서부재활용센터,경기도 평택시 안중읍 안중리 172-1,36.99206472,126.9401835,소형 가전제품+기타,서부재활용센터,031-681-2707,황규호,9:00,18:00,0:00,0:00,,031-8024-3767,경기도 평택시청
포천시 환경자원센터,경기도 포천시 신북면 만세교리 101,37.967631,127.243634,기타,경기도 포천시청,031-538-2244,포천시장,9:00,18:00,0:00,0:00,공휴일,031-538-2244,경기도 포천시청
경남거제지역자활센터,경상남도 거제시 사등면 사곡리 375-1,34.88376961,128.5736717,기타+의류,경남거제지역자활센터,055-688-5890,박로미,9:00,18:00,0:00,0:00,일+공휴일,055-639-4834,경상남도 거제시청
거제YWCA 아나바다 재활용센터,경상남도 거제시 아주동 290,34.86244036,128.691074,기타+의류,거제YWCA 아나바다 재활용센터,055-682-4950,박광복,9:00,18:00,0:00,0:00,일+공휴일,055-639-4834,경상남도 거제시청
김해시 재활용품선별장,경상남도 김해시 진영읍 설창리 820,35.299424,128.7783286,기타,부산광역시자원순환센터김해선별장,055-330-3409,김종원,8:00,17:00,8:00,17:00,토+일+1월1일+설당일+설다음날+추석당일+추석다음날+근로자의날,055-330-3404,경상남도 김해시청
밀양시 재활용품 선별장,경상남도 밀양시 무안면 마흘리 산229-4,35.47909459,128.6870329,합성수지류+유리병+금속캔,밀양시,055-359-5328,밀양시장,9:00,18:00,0:00,0:00,토요일+일요일,055-359-5327,경상남도 밀양시
사천시 재활용선별장,경상남도 사천시 사등동 86-9,34.92522294,128.1138245,기타,경상남도 사천시청 환경사업소,055-831-5606,사천시장(박동식),8:00,17:00,0:00,0:00,토+일+공휴일,055-831-5606,경상남도 사천시청
북부재활용센터,경상남도 양산시 남부동 452-12,35.340437,129.0373755,소형 가전제품+기타,북부재활용센터,055-389-1457,김명옥,9:00,19:00,9:00,19:00,연중무휴,055-392-3342,양산시청 자원순환과
덕계재활용센터,경상남도 양산시 주진동 115-5,35.39145384,129.1586463,소형 가전제품+기타,양산덕계웅상재활용센터,055-364-2740,박경순,9:00,17:00,9:00,12:00,일요일,055-392-3342,양산시청 자원순환과
진주시재활용품선별장,경상남도 진주시 내동면 유수리 1014,35.12231134,128.0145496,종이류(고지류)+종이팩+합성수지류+유리병+기타,㈜진사재활용,055-749-2279,하진호,8:00,16:00,8:00,16:00,일요일,055-749-5181,경상남도 진주시청
창원시진해재활용품상설교환판매장,경상남도 창원시 진해구 석동 84-1,35.1525172,128.700497,소형 가전제품+기타,진해지역자활센터,055-544-4980,김미숙,9:00,18:00,0:00,0:00,토요일+일요일+ 공휴일,055-225-3584,경상남도 창원시청
통영시 재활용품 상설판매장,경상남도 통영시 항남동 151-54,34.83982251,128.4221417,의류+기타,통영YWCA,055-646-2548,원필숙,9:00,18:00,0:00,0:00,공휴일,055-650-1313,경상남도 통영시청
함양군폐기물종합처리장,경상남도 함양군 함양읍 이은리 34,35.50613473,127.7494238,소형 가전제품+기타,경상남도 함양군청,055-960-6150,함양군수,9:00,18:00,0:00,0:00,토+일+공휴일,055-960-6150,경상남도 함양군청
합천군재활용선별장,경상남도 합천군 대양면 정양리 18-1,35.54941673,128.1734842,합성수지류+유리병+종이류(고지류)+기타,환경시설관리주식회사+㈜현산종합건설,055-931-9285,권지훈+전지환,9:00,18:00,0:00,0:00,주말+공휴일,055-930-3304,경상남도 합천군청
구미시 재활용품 전시판매장,경상북도 구미시 송정동 492-7,36.114273,128.351282,소형 가전제품+기타,(사)한국생활자원 재활용협의회,054-455-3272,이석현,9:00,18:00,9:00,18:00,연중무휴,054-480-5223,경상북도 구미시청
환경관리센터,경상북도 군위군 군위읍 내량리 산58-3,36.2367537,128.5419155,기타,군위군청,054-380-7991,군위군수,9:00,17:00,0:00,0:00,"매주토요일, 일요일, 공휴일",054-383-2181,경상북도 군위군청
